,full_text
103,Desak Anies Nelayan Banyuwangi...  Nampak gerah namun peserta dan Pak @aniesbaswedan sangat bergairah. https://t.co/ekd9LWV7NH
104,[ Desak Anies ] Penyertaan Modal pada Jalan Tol https://t.co/29BMdNXMxk
105,Nelayan Lamongan Jawa timur Solid dukung dan pilih AMIN....perlu di Ketahui bahwa hari ini Jumat 29 Desember 2023 pak Anies Mengunjungi Tempat Pelelangan ikan di Lamongan Jawa timur https://t.co/5rOA5Tirxc
106,"DESAK ANIES ➡ fine  gwenchana  i'm okay""  Desak Ganjar ➡ ""KTP mu mana?"" *didatengin ke lokasi  ada yg doxing etc* ➡ DIHAJAR GANJAR  Desak Prabowo ➡ *dijemput 🌹-team depan rumah ""Anda dimohon menghadap bapak"" secara senyap* ➡ DIGOWO PRABOWO"""
107,Kita desak anies agar jadi presiden RI yg ke 8 Amin☝️ 🤲🤲🤲 https://t.co/U32EPp1swU
108,PILIH ANIES.  AMIN.  DANAU BUATAN DI PERBATASAN JAKARTA SELATAN dan DEPOK  utk penampungan Air Hujan.  (Yang seperti ini tidak ada di TV/Media mainstream).   Memang sengaja tidak  diekspose oleh rezim ini (Jkw  Ganjar  PDIP  9 Naga dan Oligarkhi) https://t.co/AHzptda511
109,Papua Dukung Anies  Orang Jawa kalau tidak dukung Anies malu sama Orang Papua. 🥰  #AniesMuhaimin2024  #AMINAjaDulu https://t.co/o9848tKf5P
110,...2019 gw rela ke pelosok2 hutan di Jabar bantu kampanye Prabowo tanpa dibayar.  Saksi'y masih banyak yg hidup.  2024 gw siap terjun bantu kalahin Prabowo  siapapun lawan'y. Gak peduli itu Ganjar/Anies.  Gw yakin gerakan #AsalBukan02 akan jadi X Factor kekalahan Prabowo.. (`` )
111,Banyuwangi  28 Desember 2023  Semerbak mewangi harumnya PERUBAHAN makin menjadi.   Momen pak Anies hadiri pengajian bersama Aqsona Banyuwangi dengan sambutan ribuan jamaah.   #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/2GUcPoBJPE
112,Paling Suka Acara Desak Anies ...hari ini Kamis 28 Desember 2023 pak Anies Bersama Para Nelayan di acara Desak Anies di Banyuwangi Jawa timur https://t.co/TKmx58pfY7
113,Gagasan itu sdh ada sejak dini  bukan saat kampanye sj!  Lihat cara dia bicara. Mencerdaskan. Patut ditiru dan digugu. Dosen🤔  Pokoke Anies is the best👍👍👍 https://t.co/mzJkBoi0qC
114,Jendral TNI (Purn) Fachrul Razi:“Orang Emosian tidak akan bisa memimpin bangsa”  Indonesia butuh pemimpin sprt Pak Anies Baswedan yg sudah terbukti kinerjanya hanya 1 periode sudah membawa Jakarta lebih maju  beliau jg cerdas  santun  sabar  sholeh Insyaallah🤲  #AMINAjaDulu ☝️❤ https://t.co/0UQDdZ02hN
115,"@vindddaaaa Ngeriii. Padahal bisa ngomong  mana capres anda? Kesini ngga? Mau dialog sama anda ngga?""    Bagusnya Pak Anies ga arogan si"""
116,Emmeril Kahn Mumtaz putra sulung Ridwan kamil meninggal tenggelam di sungai Aare Swiss   Video Anies baswedan berkunjung untuk berbelasungkawa atas meninggalnya putra Ridwan kamil dan anies baswedan juga meminta warga untuk sholat ghoib   Tolong jangan sebar HOAX https://t.co/QHbXB2YcsJ
117,ANIES SEOLAH-OLAH SUDAH PRESIDEN  keluh kesah rakyat ditumpahkan dalam acara desak anies https://t.co/O9xir1uKqC
118,HMI resmi deklarasi dukung penuh Anies-Muhaimin..   Saatnya Aktivis yang memimpin selangkah lagi keder HMI jadi presiden  retweet keras!! https://t.co/EqKvlPCm5c
